rank,trial_number,candidate,objective,physics_level,physics_admissible,R2_min,R2_median,R2_mean,R2_std,RMSE_mean,MAE_mean,bias_abs_mean,active_cdp_pcd_min,active_cdp_pcd_mean,parameter_count,training_time_s,config_hash
61,38,TRIAL_0038_CDP_NEG,0.7242774083340312,C,False,0.7118103206151274,0.7512159496589608,0.7680095238045525,0.049745213131887046,0.8668844107565997,0.45374402129347563,0.05645887221763779,63.037109375,72.763671875,46449,2373.3219073999935,5ca5837940519625eea2f1fc07749051fa5f8939fb7dbb12b5ab7134902753e2
62,27,TRIAL_0027_CDP_NEG,0.7241261029148046,C,False,0.7144918580699815,0.7451007066402596,0.7616668062502476,0.042659045442869026,0.8792189780538864,0.4631919915192303,0.03560663050371939,50.830078125,68.544921875,25921,455.38088080000307,d763fbfbdb7cac6fbc9d3b98375f6bc1ecca4378bd692d014e4659ae19901837
63,33,TRIAL_0033_CDP_NEG,0.723632135760412,C,False,0.7202565744303108,0.7344021887771739,0.7547681280541909,0.043192783363457554,0.8928504662436362,0.45620734815433234,0.044918776244852326,37.158203125,43.779296875,51185,1708.1222504000107,e871a8d43cbb7cae621af7f74ffb6da5202dc41f9d14c67d8aabdf50a1479399
64,87,TRIAL_0087_CDP_NEG,0.7233204167116586,C,False,0.7126393636789651,0.747069873430521,0.7656567546068735,0.049498389855641534,0.8717572487553286,0.45697636231781164,0.05184996608171231,93.798828125,96.09375,57153,2226.290548299992,13349bb4086965f74c6a28033bdc17a99f899657ad609918c05d21812440855c
65,101,TRIAL_0101_CDP_NEG,0.7229231595072977,C,False,0.7079630542451818,0.7525400147250665,0.7662307928798986,0.04239756745321069,0.8707787616626037,0.46111278449590437,0.037748239349886505,94.7265625,98.69140625,63153,183.3110144000093,f7c60ddf8472c21d091beb1f96ed992297c7286bb338d1a227aa59b7c29c4c65
66,50,TRIAL_0050_CDP_NEG,0.7225505910646516,C,False,0.7109394904730422,0.7473013280876748,0.7617839420049044,0.043818958459665665,0.8787757182512148,0.46884548312663143,0.03739246899262785,89.6484375,95.83984375,136705,252.584657600004,09ee03c9d20fe9981f7a2fc76465d7fea408fdf1bc65fc87e081d85a3688daca
67,51,TRIAL_0051_CDP_NEG,0.721594079558106,C,False,0.7132065345719161,0.7410317090074972,0.7604288944710661,0.04682243334399391,0.881279300756691,0.45950268145340667,0.045251968541449354,73.681640625,82.32421875,28801,369.3385852999927,ceb220eba2dd5033266bd110eed3afc8dd23729da2b352f75638ba0919b7396b
68,72,TRIAL_0072_CDP_NEG,0.7206460621463698,C,False,0.7062061650394706,0.7511866889103713,0.766228288093126,0.050564723597366384,0.8698298400566722,0.4596269509255442,0.06434268518971899,69.873046875,73.57421875,82433,356.7303796999913,a765df6cf6b2eca072a55962aecca529073ec40cf55f02671df34372424ea95d
69,98,TRIAL_0098_CDP_NEG,0.7203052255282645,C,False,0.706704653759164,0.7490262422647289,0.7612880784330194,0.045542472499544386,0.8801040445884748,0.4722904350096548,0.0435971380818802,77.34375,88.7109375,63041,650.1708310999384,036fc7c9abb2dffa6b36bdf850f6bd22348cbe067e0a2fbec0bb7f396283c6e5
70,80,TRIAL_0080_CDP_NEG,0.7191975265533882,C,False,0.7071527825295378,0.7449576068039913,0.7647674365577984,0.050581686613117266,0.872918036157533,0.46760059148263905,0.024138852915608067,92.3828125,94.98046875,79713,1037.053532799997,6f78e2ee81c89cf087e490b047d247f1db0cede9a5fd9b32d583d64e9faabd5c
71,31,TRIAL_0031_CDP_NEG,0.719007672699884,C,False,0.7072104982623472,0.7438149252401962,0.764857501064425,0.0494885393602578,0.8729915328364454,0.4634041379400019,0.04305546831731606,71.923828125,78.65234375,8513,701.0480848000079,3b182bc83f8243b1e368f2de1786972cef4730821d99ee361afc66994beead73
72,43,TRIAL_0043_CDP_NEG,0.7179494566642042,C,False,0.7102561017127262,0.7362997429730959,0.7542178870152197,0.04515915956882247,0.8927339617880546,0.4856528893034728,0.04167721498801792,47.36328125,57.3046875,95121,569.9329353999929,0dc32670ea03fc98e8ef89faec62f9eca44af597cbece88d931aa6a89397570a
73,84,TRIAL_0084_CDP_NEG,0.7173077652754213,C,False,0.7015170865312301,0.7511897678554912,0.7608237815881639,0.050417951587804495,0.881106684632563,0.4773661023858299,0.039462377263578007,93.212890625,98.49609375,53539,170.9687336999923,966a81956236c8f9e24cf1ed6fc03e4acc78bc88182c307f8ff33de2263aca04
74,42,TRIAL_0042_CDP_NEG,0.7144280624529443,C,False,0.6993701880895081,0.7453287207562469,0.7587694868009109,0.04669615307725683,0.8840799623829178,0.47062158526002146,0.04804892966488518,63.037109375,75.341796875,28689,1866.2180651999952,d07f65bbe9b466cacb69c740d6b796a09cb023f5efc8d9747685d675354232d8
75,40,TRIAL_0040_CDP_NEG,0.7143058741362533,C,False,0.7051142438512024,0.7349984363938946,0.7576865413564038,0.05030857228276777,0.8864134805768071,0.4778780237295702,0.05609688371317665,57.373046875,69.345703125,78785,606.856667199987,1b4abbb6afaa151a795be3fb2f8eef9e8c116381ea4dd7920ecb2551166b4405
76,20,TRIAL_0020_CDP_NEG,0.7136636570044628,C,False,0.7031204638224375,0.7360871529633594,0.7590833293222922,0.04943100110236743,0.883858332400268,0.47775740240569603,0.04729455852588808,92.67578125,95.72265625,27153,3356.907844900008,2417cfc190552b3d4edc8b06fc2fba54d482850b8c9c1599f96275f4744b89fa
77,95,TRIAL_0095_CDP_NEG,0.7115293665516387,C,False,0.7093438201297011,0.7184748794970272,0.7437034791434846,0.039897372896385896,0.9130053385266343,0.47934064823625366,0.059946090197494674,78.125,82.958984375,21281,3185.397058100032,d05e417d55de2c116419cef407e0a1a77163eef9cc449872a6b32d6f7b388964
78,41,TRIAL_0041_CDP_NEG,0.7008510151371978,C,False,0.679130735637695,0.745155573382035,0.7563007272036014,0.05804170980389799,0.8881531939409028,0.47286162449189284,0.04634680748674498,63.671875,70.48828125,35473,267.743023300005,7081fe2630a01a8de73494bb79664682119dc18ed66a04fffd08bcf0cf6cf4ef
79,35,TRIAL_0035_CDP_NEG,0.688894445554952,C,False,0.6784957742357649,0.7135463095490656,0.723306784539599,0.045975903051864594,0.9468068301505657,0.5247695583207344,0.05633207196617197,71.484375,75.771484375,21665,965.508958099992,75a98372c9e055de59ec1a7ec157fdc89a6e20a587f0dddb11ad20bc3c37a3c9
80,7,TRIAL_0007_CDP_NEG,0.6848866650709211,C,False,0.6602808430448306,0.7368672082257426,0.740312379759892,0.06373241199689227,0.9176658705735209,0.5249986906937096,0.031772082698555845,73.876953125,90.791015625,29089,259.7560011000023,dde9bd0f23afdc551bf1d83c2e20e39598121801bc04c820cfef2f09c2eb21e3
81,28,TRIAL_0028_CDP_NEG,0.6842165574718759,C,False,0.6584703352368527,0.7389025762091341,0.7393335836017888,0.06469774893154828,0.9195229613651602,0.5223544501755113,0.07293075062143844,80.95703125,90.166015625,142819,256.4195292000004,4a2f959606853f97c3eddae1aab6c3e97f23f35472e65744b07db64545cb6481
